NORAD_CAT_ID,DATE,MEAN_MOTION,ECCENTRICITY,BSTAR,A_KM,HP_KM,HA_KM
25544,2021-07-10,15.4878742,0.0002061,4.3956e-05,6798.4091725337985,418.87102040333957,421.67332466425796
25544,2021-07-11,15.48791154,0.0002015,4.1319e-05,6798.3982456161675,418.89136836967646,421.63112286265914
25544,2021-07-12,15.48792846,0.0002068,3.3155e-05,6798.393294279625,418.8503865463681,421.6622020128816
25544,2021-07-13,15.48793767,0.0002036,2.5361e-05,6798.390599141004,418.8694468150188,421.63775146698936
25544,2021-07-14,15.48796862,0.0002015,2.6193e-05,6798.38154220723,418.87466832647624,421.61441608798486
25544,2021-07-15,15.48805821,0.000197,4.1622e-05,6798.355325553457,418.8790495543235,421.5576015525912
25544,2021-07-16,15.48813166,0.0001973,5.1263e-05,6798.333832124196,418.85552085911877,421.5381433892744
25544,2021-07-17,15.48816181,0.0001795,4.5439e-05,6798.325009479131,418.9677101399302,421.40830881833244
25544,2021-07-18,15.48818949,0.0001777,3.9053e-05,6798.316909643127,418.9718487282835,421.38797055797113
25544,2021-07-19,15.48822027,0.0001777,3.7216e-05,6798.307902700641,418.96284338633177,421.37896201495096
25544,2021-07-20,15.48828578,0.0001717,4.2487e-05,6798.288733053291,418.984466877826,421.3189992287571
25544,2021-07-21,15.48829759,0.0001549,3.4993e-05,6798.28527720543,419.0952228159913,421.20133159486977
25544,2021-07-22,15.4883982,0.0001475,7.1172e-05,6798.25583683708,419.1160941011467,421.12157957301406
25544,2021-07-23,15.48852125,0.0001439,7.1534e-05,6798.219830538185,419.10456670457097,421.0610943718002
25544,2021-07-24,15.48861831,0.0001355,7.4495e-05,6798.191429644371,419.1332747056549,420.9755845830887
25544,2021-07-25,15.48865789,0.0001244,6.4707e-05,6798.179848157527,419.19715458441624,420.8885417306383
25544,2021-07-26,15.48862226,0.0001326,5.9293e-06,6798.190273834349,419.1518338040387,420.9547138646594
25544,2021-07-27,15.48846248,9.51e-05,-0.00026967,6798.237027473314,419.4535151320015,420.7465398146269
25544,2021-07-28,15.48869351,0.0001295,7.1195e-05,6798.169425446757,419.1520625061612,420.9127883873516
25544,2021-07-29,15.48872655,0.0001402,4.8879e-05,6798.159757701341,419.0696557033116,420.97585969937063
25544,2021-07-30,15.48863074,0.0001434,2.2454e-06,6798.1877925020835,419.0759323726388,421.0256526315288
25544,2021-07-31,15.48861065,0.000139,0.00010398,6798.193671039387,419.1117221191125,421.0016199596603
25544,2021-08-01,15.48855972,0.0001112,-8.3626e-05,6798.208573729724,419.3156129363251,420.8275345231232
25544,2021-08-02,15.48861899,0.0001239,-3.4509e-06,6798.191230669447,419.21193477596717,420.89652656292674
25544,2021-08-03,15.48870648,0.0001317,4.1053e-05,6798.16563032589,419.1333119123765,420.9239487394043
25544,2021-08-04,15.48873424,0.0001219,3.3915e-05,6798.157507556081,419.19181215591016,420.84920295625216
25544,2021-08-05,15.48878547,0.0001215,3.8097e-05,6798.142517364123,419.17954304826344,420.8314916799836
25544,2021-08-06,15.48879834,0.000137,2.9135e-05,6798.138751541262,419.0704065323007,420.9330965502231
25544,2021-08-07,15.48878478,0.0001337,1.5421e-05,6798.142719261533,419.0968075799674,420.914630943098
25544,2021-08-08,15.48883606,0.0001288,2.4757e-05,6798.12771452093,419.11511567129946,420.8663133705595
25544,2021-08-09,15.48888011,0.0001252,3.07e-05,6798.114825374409,419.1267013982715,420.8289493505463
25544,2021-08-10,15.48889717,0.0001275,2.6843e-05,6798.109833589694,419.1060745859122,420.8395925934774
25544,2021-08-11,15.48889176,0.0001231,1.4852e-05,6798.111416563808,419.1375690484292,420.8112640791869
25544,2021-08-12,15.48893124,0.0001263,2.1964e-05,6798.0998646777725,419.1042646648639,420.82146469068175
25544,2021-08-13,15.48899004,0.0001245,3.2768e-05,6798.082659832097,419.09929854094844,420.79202112324765
25544,2021-08-14,15.48902325,0.0001245,3.3315e-05,6798.072942653587,419.0895825722273,420.78230273494864
25544,2021-08-15,15.48905115,0.0001277,2.9004e-05,6798.064779197125,419.0596663248225,420.7958920694282
25544,2021-08-16,15.48908431,0.0001324,3.1068e-05,6798.055076712287,419.01801422012977,420.8181392044444
25544,2021-08-17,15.48913679,0.0001388,3.481e-05,6798.039721342619,418.95915342929675,420.846289255941
25544,2021-08-18,15.48915226,0.0001423,2.9037e-05,6798.035194919212,418.9308345109748,420.86555532744933
25544,2021-08-19,15.4891811,0.0001517,2.7662e-05,6798.026756539133,418.85849588016663,420.92101719810034
25544,2021-08-20,15.48924362,0.0001516,3.6599e-05,6798.008463719111,418.8408856360111,420.902041802211
25544,2021-08-21,15.48509992,0.0002836,0.00024349,6799.221141354038,419.1558822383504,423.01240046972634
25544,2021-08-22,15.48502348,0.0002756,3.0012e-05,6799.243517040115,419.2326455268185,422.9803885534111
25544,2021-08-23,15.48507616,0.0002751,3.9081e-05,6799.228096414137,419.22062876481414,422.961564063462
25544,2021-08-24,15.48512674,0.0002744,4.2933e-05,6799.213290587871,419.2105864609339,422.94199471480715
25544,2021-08-25,15.48516775,0.0002739,4.0913e-05,6799.201286160382,419.2019849281023,422.92658739266153
25544,2021-08-26,15.48520491,0.0002742,3.9706e-05,6799.1904087488,419.18907073872106,422.91774675887973
25544,2021-08-27,15.48528762,0.0002777,5.8267e-05,6799.166198175379,419.1410697221454,422.9173266286125
25544,2021-08-28,15.4853803,0.0002866,6.4386e-05,6799.139069475507,419.0534362181961,422.9507027328191
25544,2021-08-29,15.48553717,0.0003026,9.2739e-05,6799.093152103925,418.8987465160981,423.013557691751
25544,2021-08-30,15.48572233,0.0003196,0.00040067,6799.038954972312,418.72898212230393,423.074927822322
25544,2021-08-31,15.48573993,0.000302,9.5657e-05,6799.033803432517,418.8434952238804,422.95011164115385
25544,2021-09-01,15.48583519,0.0003023,9.1309e-05,6799.005920892711,418.81358140282555,422.9242603825978
25544,2021-09-02,15.48588885,0.0003031,7.9876e-05,6798.990214771612,418.79244083751473,422.9139887057099
25544,2021-09-03,15.48588165,0.0003082,4.9533e-05,6798.992322184754,418.7598727510567,422.95077161845256
25544,2021-09-04,15.48594962,0.0003199,4.8605e-05,6798.972427684363,418.6604364047462,423.01041896397965
25544,2021-09-05,15.48603023,0.0003254,5.7585e-05,6798.948833703863,418.5994557533759,423.02421165434953
25544,2021-09-06,15.48608535,0.0003244,5.5501e-05,6798.932700585063,418.5901268169937,423.00127435313243
25544,2021-09-07,15.48608631,0.0003257,3.9124e-05,6798.93241960271,418.5810073136463,423.0098318917753
25544,2021-09-08,15.48610247,0.0003326,3.0744e-05,6798.927689737456,418.5293663878492,423.0520130870618
25544,2021-09-09,15.48616578,0.0003364,3.8852e-05,6798.909159632955,418.4850065916553,423.0593126742551
25544,2021-09-10,15.486255,0.0003382,5.3196e-05,6798.8830461855705,418.4466639393513,423.04542843179115
25544,2021-09-11,15.48630637,0.0003482,5.2609e-05,6798.868011018078,418.3636451766415,423.09837685951334
25544,2021-09-12,15.48249857,0.000255,-0.0021801,6799.982717770036,420.1117221770055,423.57971336306764
25544,2021-09-13,15.48446485,0.0005127,0.00088677,6799.407046039661,417.7839900471563,424.7561020321655
25544,2021-09-14,15.48412484,0.000274,0.00040846,6799.506582735159,419.5065179314897,423.23264753882995
25544,2021-09-15,15.48363749,0.0002916,-0.00097172,6799.649259034664,419.52948131073026,423.49503675859887
25544,2021-09-16,15.4839966,0.0003202,4.7327e-05,6799.544125476571,419.2299114475936,423.584339505549
25544,2021-09-17,15.48404416,0.0003238,4.7035e-05,6799.530202047575,419.191514168152,423.5948899269988
25544,2021-09-18,15.48406777,0.0003291,3.9247e-05,6799.523290127905,419.1485670131242,423.6240132426874
25544,2021-09-19,15.48407896,0.0003373,1.9859e-05,6799.520014217857,419.0895361170624,423.6764923186529
25544,2021-09-20,15.4841224,0.0003352,3.1466e-05,6799.507297049483,419.0911022035125,423.64949189545496
25544,2021-09-21,15.48418266,0.0003434,3.9814e-05,6799.489655882602,419.01771113477207,423.6876006304328
25544,2021-09-22,15.4842257,0.0003477,4.3161e-05,6799.477055955595,418.9758777832394,423.70423412795117
25544,2021-09-23,15.48426354,0.0003452,3.8824e-05,6799.46597837282,418.9818027170859,423.67615402855427
25544,2021-09-24,15.48805981,0.0004248,-0.0012115,6798.354857348968,417.3299162055664,423.10579849237
25544,2021-09-25,15.48839908,0.0003973,-8.221e-05,6798.2555793340225,417.41763239235297,422.8195262756917
25544,2021-09-26,15.48835892,0.0004149,-0.00034357,6798.267330862057,417.30972974648284,422.9509319776316
25544,2021-09-27,15.48859404,0.0003977,-7.7589e-05,6798.198531303071,417.35788774717275,422.76517485896966
25544,2021-09-28,15.48862338,0.0003669,-9.4619e-05,6798.189946111089,417.5586902198611,422.54720200231714
25544,2021-09-29,15.48869965,0.0003892,2.979e-05,6798.167628835292,417.3847819941493,422.6764756764351
25544,2021-09-30,15.48873844,0.0003997,3.15e-05,6798.1562786088725,417.3020555443127,422.73650167343294
25544,2021-10-01,15.48895782,0.000419,0.00010931,6798.092087371806,417.10668678719776,422.80348795641476
25544,2021-10-02,15.48905697,0.0004033,9.7694e-05,6798.06307628564,417.1844174469743,422.667735124307
25544,2021-10-03,15.48913182,0.0003972,-1.8204e-06,6798.041175534541,417.20399357961924,422.60435748946475
25544,2021-10-04,15.4893155,0.000417,0.00010685,6797.987432394805,417.0156716354968,422.6851931541132
25544,2021-10-05,15.48923445,0.0004159,-6.3735e-05,6798.011146775381,417.0468539394378,422.70143961132453
25544,2021-10-06,15.48935862,0.0004197,5.0542e-05,6797.9748160189965,416.98470598871336,422.69092604927937
25544,2021-10-07,15.48944939,0.0004169,6.4553e-05,6797.948258037015,416.97719340823915,422.64532266579135
25544,2021-10-08,15.48952913,0.000421,6.5029e-05,6797.9249274866515,416.92600109217983,422.6498538811238
25544,2021-10-09,15.48959032,0.0004241,6.1754e-05,6797.90702448248,416.88703211339634,422.65301685156373
25544,2021-10-10,15.4896448,0.0004143,5.6603e-05,6797.891084793026,416.93771851659585,422.5704510694559
25544,2021-10-11,15.48974434,0.0004183,6.6306e-05,6797.861961747117,416.88141608851856,422.56850740571554
25544,2021-10-12,15.48672203,0.0004095,0.00036999,6798.746357121545,417.82527048830434,423.39344375478595
25544,2021-10-13,15.48670312,0.0004219,6.8442e-05,6798.7518915152095,417.74649809217954,423.483284938241
25544,2021-10-14,15.48682128,0.000421,8.8077e-05,6798.717309787924,417.71804980050365,423.44256977534496
25544,2021-10-15,15.48727409,0.0004092,0.00055438,6798.584790569508,417.66580967320715,423.2297714658098
25544,2021-10-16,15.48716321,0.0004804,5.6696e-05,6798.6172400750265,417.21418435289434,423.7462957971593
